Command line: test_speed_GP.py
Total duration: 367.663s
File: <frozen importlib._bootstrap>
File duration: 16.5991s (4.51%)
Line #|      Hits|         Time| Time per hit|      %|Source code
   175|         0|            0|            0|  0.00%|
   176|     78312|     0.264708|  3.38018e-06|  0.07%|
   177|     39156|     0.159947|  4.08486e-06|  0.04%|
   178|     39156|     0.133011|  3.39695e-06|  0.04%|
   179|         0|            0|            0|  0.00%|
   180|         0|            0|            0|  0.00%|
   181|         0|            0|            0|  0.00%|
   182|     39156|     0.138354|  3.53339e-06|  0.04%|
   183|     39156|     0.142673|  3.64371e-06|  0.04%|
   184|         0|            0|            0|  0.00%|
   185|     39156|     0.150064|  3.83247e-06|  0.04%|
   186|         0|            0|            0|  0.00%|
   187|     39156|     0.180717|  4.61531e-06|  0.05%|
   188|         0|            0|            0|  0.00%|
   189|     41599|     0.157639|  3.78949e-06|  0.04%|
   190|         0|            0|            0|  0.00%|
   191|     41599|     0.151967|  3.65314e-06|  0.04%|
   192|         0|            0|            0|  0.00%|
   193|         0|            0|            0|  0.00%|
   194|     20392|    0.0900176|  4.41436e-06|  0.02%|
   195|         0|            0|            0|  0.00%|
   196|         0|            0|            0|  0.00%|
   197|         0|            0|            0|  0.00%|
   198|         0|            0|            0|  0.00%|
   199|         0|            0|            0|  0.00%|
   200|     20392|      0.22178|  1.08758e-05|  0.06%|
(call)|     20392|      1.65354|  8.10877e-05|  0.45%|# <frozen importlib._bootstrap>:157 _get_module_lock
   201|     20392|    0.0689242|  3.37996e-06|  0.02%|
   202|     20392|     0.236221|   1.1584e-05|  0.06%|
(call)|     20392|     0.803333|  3.93945e-05|  0.22%|# <frozen importlib._bootstrap>:78 acquire
   203|         0|            0|            0|  0.00%|
   204|         0|            0|            0|  0.00%|
   205|         0|            0|            0|  0.00%|
   206|         0|            0|            0|  0.00%|
   207|         0|            0|            0|  0.00%|
   208|     20392|     0.221062|  1.08406e-05|  0.06%|
(call)|     20392|      0.60235|  2.95386e-05|  0.16%|# <frozen importlib._bootstrap>:103 release
   209|         0|            0|            0|  0.00%|
   210|         0|            0|            0|  0.00%|
   211|      4651|    0.0124502|  2.67689e-06|  0.00%|
   212|         0|            0|            0|  0.00%|
   213|         0|            0|            0|  0.00%|
   214|         0|            0|            0|  0.00%|
   215|         0|            0|            0|  0.00%|
   216|         0|            0|            0|  0.00%|
   217|         0|            0|            0|  0.00%|
   218|         0|            0|            0|  0.00%|
   219|      4651|     0.526436|  0.000113188|  0.14%|
(call)|         1|  3.17097e-05|  3.17097e-05|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/neptune/envs.py:18 <module>
(call)|      1417|      38.9642|    0.0274977| 10.60%|# <frozen importlib._bootstrap>:978 _find_and_load
(call)|       825|     0.104109|  0.000126192|  0.03%|# <frozen importlib._bootstrap>:194 _lock_unlock_module
(call)|         1|  2.21729e-05|  2.21729e-05|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/neptune/constants.py:17 <module>
(call)|         1|   0.00134468|   0.00134468|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/neptune/exceptions.py:16 <module>
(call)|        46|   0.00091815|  1.99598e-05|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/neptune/internal/__init__.py:1 <module>
(call)|         1|   0.00865841|   0.00865841|  0.00%|# /opt/anaconda3/lib/python3.7/uuid.py:45 <module>
(call)|         1|   0.00996041|   0.00996041|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/click/_compat.py:2 <module>
(call)|         1|  0.000166655|  0.000166655|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/click/_unicodefun.py:1 <module>
(call)|         1|  7.86781e-05|  7.86781e-05|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/click/globals.py:1 <module>
(call)|         1|   0.00462842|   0.00462842|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/click/utils.py:1 <module>
(call)|         1|   0.00888157|   0.00888157|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/click/exceptions.py:1 <module>
(call)|         1|   0.00111818|   0.00111818|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/click/parser.py:20 <module>
(call)|         1|   0.00347567|   0.00347567|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/click/types.py:1 <module>
(call)|         1|   0.00813317|   0.00813317|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/click/termui.py:1 <module>
(call)|         1|    0.0157311|    0.0157311|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/click/formatting.py:1 <module>
(call)|         1|    0.0571356|    0.0571356|  0.02%|# /opt/anaconda3/lib/python3.7/site-packages/click/core.py:1 <module>
(call)|         1|   0.00098896|   0.00098896|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/click/decorators.py:1 <module>
(call)|         1|     0.067539|     0.067539|  0.02%|# /opt/anaconda3/lib/python3.7/site-packages/click/__init__.py:6 <module>
(call)|         1|  7.39098e-05|  7.39098e-05|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/packages/ssl_match_hostname/__init__.py:1 <module>
(call)|         1|   0.00358748|   0.00358748|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/packages/__init__.py:1 <module>
(call)|         1|    0.0333307|    0.0333307|  0.01%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/packages/six.py:21 <module>
(call)|         1|    0.0474954|    0.0474954|  0.01%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/exceptions.py:1 <module>
(call)|         1|  0.000305176|  0.000305176|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/util/wait.py:1 <module>
(call)|         1|  4.48227e-05|  4.48227e-05|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/contrib/_appengine_environ.py:3 <module>
(call)|         1|   0.00922537|   0.00922537|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/util/connection.py:1 <module>
(call)|         1|     0.010031|     0.010031|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/brotli/brotli.py:2 <module>
(call)|         1|    0.0128448|    0.0128448|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/brotli/__init__.py:3 <module>
(call)|         1|    0.0183113|    0.0183113|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/util/request.py:1 <module>
(call)|         1|  0.000173092|  0.000173092|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/util/response.py:1 <module>
(call)|         1|    0.0088675|    0.0088675|  0.00%|# /opt/anaconda3/lib/python3.7/hmac.py:4 <module>
(call)|         1|      1.00175|      1.00175|  0.27%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/util/url.py:1 <module>
(call)|         1|      1.01825|      1.01825|  0.28%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/util/ssl_.py:1 <module>
(call)|         1|  0.000289679|  0.000289679|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/util/timeout.py:1 <module>
(call)|         1|   0.00288296|   0.00288296|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/util/retry.py:1 <module>
(call)|         1|      1.06523|      1.06523|  0.29%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/util/__init__.py:1 <module>
(call)|         1|   0.00115204|   0.00115204|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/_collections.py:1 <module>
(call)|         1|       1.0811|       1.0811|  0.29%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/connection.py:1 <module>
(call)|         1|  0.000682592|  0.000682592|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/fields.py:1 <module>
(call)|         1|   0.00384068|   0.00384068|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/filepost.py:1 <module>
(call)|         1|   0.00894666|   0.00894666|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/request.py:1 <module>
(call)|         1|   0.00379467|   0.00379467|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/response.py:1 <module>
(call)|         1|  0.000234842|  0.000234842|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/util/queue.py:1 <module>
(call)|         1|      1.15855|      1.15855|  0.32%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/connectionpool.py:1 <module>
(call)|         1|   0.00563884|   0.00563884|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/poolmanager.py:1 <module>
(call)|         1|      1.17168|      1.17168|  0.32%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/__init__.py:3 <module>
(call)|         1|  5.81741e-05|  5.81741e-05|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/compat.py:22 <module>
(call)|         1|  0.000447273|  0.000447273|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/enums.py:5 <module>
(call)|         1|  0.000237703|  0.000237703|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/charsetprober.py:29 <module>
(call)|         1|   0.00581479|   0.00581479|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/charsetgroupprober.py:28 <module>
(call)|         1|  0.000240803|  0.000240803|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/codingstatemachine.py:28 <module>
(call)|         1|   0.00103307|   0.00103307|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/escsm.py:28 <module>
(call)|         1|   0.00707555|   0.00707555|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/escprober.py:28 <module>
(call)|         1|  0.000592232|  0.000592232|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/latin1prober.py:29 <module>
(call)|         1|   0.00476646|   0.00476646|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/mbcssm.py:28 <module>
(call)|         1|   0.00753975|   0.00753975|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/utf8prober.py:28 <module>
(call)|         1|  0.000241041|  0.000241041|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/mbcharsetprober.py:30 <module>
(call)|         1|  0.000155687|  0.000155687|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/euctwfreq.py:44 <module>
(call)|         1|  0.000114441|  0.000114441|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/euckrfreq.py:41 <module>
(call)|         1|  0.000115871|  0.000115871|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/gb2312freq.py:42 <module>
(call)|         1|   0.00015831|   0.00015831|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/big5freq.py:43 <module>
(call)|         1|  0.000125885|  0.000125885|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/jisfreq.py:44 <module>
(call)|         1|    0.0146797|    0.0146797|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/chardistribution.py:28 <module>
(call)|         1|   0.00110626|   0.00110626|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/jpcntx.py:31 <module>
(call)|         1|    0.0241895|    0.0241895|  0.01%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/sjisprober.py:28 <module>
(call)|         1|  0.000456095|  0.000456095|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/eucjpprober.py:28 <module>
(call)|         1|    0.0003438|    0.0003438|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/gb2312prober.py:28 <module>
(call)|         1|   0.00031352|   0.00031352|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/euckrprober.py:28 <module>
(call)|         1|  0.000254631|  0.000254631|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/cp949prober.py:28 <module>
(call)|         1|  0.000331879|  0.000331879|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/big5prober.py:28 <module>
(call)|         1|   0.00025177|   0.00025177|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/euctwprober.py:28 <module>
(call)|         1|    0.0544934|    0.0544934|  0.01%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/mbcsgroupprober.py:30 <module>
(call)|         1|   0.00030303|   0.00030303|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/sbcharsetprober.py:29 <module>
(call)|         1|   0.00226474|   0.00226474|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/langcyrillicmodel.py:31 <module>
(call)|         1|  0.000828028|  0.000828028|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/langgreekmodel.py:35 <module>
(call)|         1|  0.000902176|  0.000902176|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/langbulgarianmodel.py:38 <module>
(call)|         1|  0.000403404|  0.000403404|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/langthaimodel.py:37 <module>
(call)|         1|  0.000419617|  0.000419617|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/langhebrewmodel.py:38 <module>
(call)|         1|  0.000366688|  0.000366688|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/hebrewprober.py:28 <module>
(call)|         1|  0.000926733|  0.000926733|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/langturkishmodel.py:37 <module>
(call)|         1|     0.028681|     0.028681|  0.01%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/sbcsgroupprober.py:29 <module>
(call)|         1|     0.118609|     0.118609|  0.03%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/universaldetector.py:36 <module>
(call)|         1|  2.64645e-05|  2.64645e-05|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/version.py:6 <module>
(call)|         1|     0.127193|     0.127193|  0.03%|# /opt/anaconda3/lib/python3.7/site-packages/chardet/__init__.py:19 <module>
(call)|         1|   0.00139785|   0.00139785|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/requests/exceptions.py:8 <module>
(call)|         1|  5.29289e-05|  5.29289e-05|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/requests/__version__.py:5 <module>
(call)|         1|   0.00416946|   0.00416946|  0.00%|# /opt/anaconda3/lib/python3.7/importlib/resources.py:1 <module>
(call)|         1|   0.00713396|   0.00713396|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/certifi/core.py:8 <module>
(call)|         1|   0.00983405|   0.00983405|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/certifi/__init__.py:1 <module>
(call)|         1|    0.0142145|    0.0142145|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/requests/certs.py:14 <module>
(call)|         1|   0.00248742|   0.00248742|  0.00%|# /opt/anaconda3/lib/python3.7/numbers.py:6 <module>
(call)|         3|   0.00019455|  6.48499e-05|  0.00%|# /opt/anaconda3/lib/python3.7/abc.py:130 register
(call)|         3|    0.0034368|    0.0011456|  0.00%|# /opt/anaconda3/lib/python3.7/collections/__init__.py:316 namedtuple
(call)|         3|  0.000164509|  5.48363e-05|  0.00%|# /opt/anaconda3/lib/python3.7/abc.py:125 __new__
(call)|         1|    0.0104733|    0.0104733|  0.00%|# /opt/anaconda3/lib/python3.7/decimal.py:2 <module>
(call)|         1|  0.000108242|  0.000108242|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/simplejson/errors.py:2 <module>
(call)|         1|  5.31673e-05|  5.31673e-05|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/simplejson/raw_json.py:2 <module>
(call)|         1|  0.000207663|  0.000207663|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/simplejson/compat.py:2 <module>
(call)|         1|   0.00246954|   0.00246954|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/simplejson/scanner.py:2 <module>
(call)|         1|   0.00894046|   0.00894046|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/simplejson/decoder.py:2 <module>
(call)|         1|    0.0117698|    0.0117698|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/simplejson/encoder.py:2 <module>
(call)|         1|    0.0456145|    0.0456145|  0.01%|# /opt/anaconda3/lib/python3.7/site-packages/simplejson/__init__.py:119 <module>
(call)|         1|     0.292626|     0.292626|  0.08%|# /opt/anaconda3/lib/python3.7/http/cookiejar.py:26 <module>
(call)|         1|     0.148035|     0.148035|  0.04%|# /opt/anaconda3/lib/python3.7/http/cookies.py:127 <module>
(call)|         1|     0.497093|     0.497093|  0.14%|# /opt/anaconda3/lib/python3.7/site-packages/requests/compat.py:9 <module>
(call)|         1|     0.499416|     0.499416|  0.14%|# /opt/anaconda3/lib/python3.7/site-packages/requests/_internal_utils.py:9 <module>
(call)|         1|   0.00136399|   0.00136399|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/requests/cookies.py:10 <module>
(call)|         1|  0.000469446|  0.000469446|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/requests/structures.py:8 <module>
(call)|         1|      0.54336|      0.54336|  0.15%|# /opt/anaconda3/lib/python3.7/site-packages/requests/utils.py:9 <module>
(call)|         1|  1.52588e-05|  1.52588e-05|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/idna/package_data.py:1 <module>
(call)|         1|    0.0248928|    0.0248928|  0.01%|# /opt/anaconda3/lib/python3.7/site-packages/idna/idnadata.py:3 <module>
(call)|         1|  4.91142e-05|  4.91142e-05|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/idna/intranges.py:6 <module>
(call)|         1|    0.0438697|    0.0438697|  0.01%|# /opt/anaconda3/lib/python3.7/site-packages/idna/core.py:1 <module>
(call)|         1|    0.0491581|    0.0491581|  0.01%|# /opt/anaconda3/lib/python3.7/site-packages/idna/__init__.py:1 <module>
(call)|         1|    0.0686383|    0.0686383|  0.02%|# /opt/anaconda3/lib/python3.7/site-packages/requests/packages.py:1 <module>
(call)|         1|   0.00338531|   0.00338531|  0.00%|# /opt/anaconda3/lib/python3.7/stringprep.py:6 <module>
(call)|         1|   0.00745893|   0.00745893|  0.00%|# /opt/anaconda3/lib/python3.7/encodings/idna.py:3 <module>
(call)|         1|  3.14713e-05|  3.14713e-05|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/requests/hooks.py:13 <module>
(call)|         1|  0.000893593|  0.000893593|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/requests/auth.py:8 <module>
(call)|         1|   0.00739288|   0.00739288|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/requests/status_codes.py:21 <module>
(call)|         1|    0.0293782|    0.0293782|  0.01%|# /opt/anaconda3/lib/python3.7/site-packages/requests/models.py:8 <module>
(call)|         1|   0.00390291|   0.00390291|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/socks.py:1 <module>
(call)|         1|     0.010139|     0.010139|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/urllib3/contrib/socks.py:36 <module>
(call)|         1|    0.0146737|    0.0146737|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/requests/adapters.py:9 <module>
(call)|         1|    0.0192883|    0.0192883|  0.01%|# /opt/anaconda3/lib/python3.7/site-packages/requests/sessions.py:9 <module>
(call)|         1|     0.022191|     0.022191|  0.01%|# /opt/anaconda3/lib/python3.7/site-packages/requests/api.py:11 <module>
(call)|         1|      1.99102|      1.99102|  0.54%|# /opt/anaconda3/lib/python3.7/site-packages/requests/__init__.py:41 <module>
(call)|         1|  1.50204e-05|  1.50204e-05|  0.00%|# /opt/anaconda3/lib/python3.7/site-packages/bravado/__init__.py:2 <module>
